;Coach;Tm;Unnamed: 2;#;#.1;Unnamed: 5;G;W;L;G.1;W.1;L.1;G.2;W.2;L.2;W%;Unnamed: 16;G.3;W.3;L.3;G.4;W.4;L.4;G.5;W.5;L.5;annee
0;Lloyd Pierce;ATL;;2;2;;67;20;47;149;49;100;149;49;100;0.32899999999999996;;;;;;;;;;;2020
1;Brad Stevens;BOS;;7;7;;72;48;24;564;318;246;564;318;246;0.564;;17.0;10.0;7.0;73.0;37.0;36.0;73.0;37.0;36.0;2020
2;Kenny Atkinson;BRK;;4;4;;62;28;34;308;118;190;308;118;190;0.38299999999999995;;;;;5.0;1.0;4.0;5.0;1.0;4.0;2020
3;Jacque Vaughn;BRK;;1;4;;10;7;3;10;7;3;226;65;161;0.28800000000000003;;4.0;0.0;4.0;4.0;0.0;4.0;4.0;0.0;4.0;2020
4;Jim Boylen;CHI;;2;2;;65;22;43;123;39;84;123;39;84;0.317;;;;;;;;;;;2020
5;James Borrego;CHO;;2;3;;65;23;42;147;62;85;177;72;105;0.40700000000000003;;;;;;;;;;;2020
6;John Beilein;CLE;;1;1;;54;14;40;54;14;40;54;14;40;0.259;;;;;;;;;;;2020
7;J.B. Bickerstaff;CLE;;1;4;;11;5;6;11;5;6;227;90;137;0.396;;;;;;;;5.0;1.0;4.0;2020
8;Rick Carlisle;DAL;;12;18;;75;43;32;961;513;448;1453;794;659;0.546;;6.0;2.0;4.0;64.0;30.0;34.0;126.0;60.0;66.0;2020
9;Michael Malone;DEN;;5;7;;73;46;27;401;219;182;507;258;249;0.509;;19.0;9.0;10.0;33.0;16.0;17.0;33.0;16.0;17.0;2020
10;Dwane Casey;DET;;2;11;;66;20;46;148;61;87;828;434;394;0.524;;;;;4.0;0.0;4.0;55.0;21.0;34.0;2020
11;Steve Kerr;GSW;;6;6;;65;15;50;475;337;138;475;337;138;0.7090000000000001;;;;;105.0;77.0;28.0;105.0;77.0;28.0;2020
12;Mike D'Antoni;HOU;;4;16;;72;44;28;318;217;101;1199;672;527;0.56;;12.0;5.0;7.0;51.0;28.0;23.0;110.0;54.0;56.0;2020
13;Nate McMillan;IND;;4;16;;73;45;28;319;183;136;1249;661;588;0.529;;4.0;0.0;4.0;19.0;3.0;16.0;53.0;17.0;36.0;2020
14;Doc Rivers;LAC;;7;21;;72;49;23;564;356;208;1624;943;681;0.581;;13.0;7.0;6.0;59.0;27.0;32.0;180.0;91.0;89.0;2020
15;Frank Vogel;LAL;;1;9;;71;52;19;71;52;19;666;356;310;0.535;;21.0;16.0;5.0;21.0;16.0;5.0;82.0;47.0;35.0;2020
16;Taylor Jenkins;MEM;;1;1;;73;34;39;73;34;39;73;34;39;0.466;;;;;;;;;;;2020
17;Erik Spoelstra;MIA;;12;12;;73;44;29;959;567;392;959;567;392;0.591;;21.0;14.0;7.0;139.0;85.0;54.0;139.0;85.0;54.0;2020
18;Mike Budenholzer;MIL;;2;7;;73;56;17;155;116;39;565;329;236;0.5820000000000001;;10.0;5.0;5.0;25.0;15.0;10.0;64.0;32.0;32.0;2020
19;Ryan Saunders;MIN;;2;2;;64;19;45;106;36;70;106;36;70;0.34;;;;;;;;;;;2020
