;full_name;Tm;POS;GS
0;Grayson Allen;mil;SG;1.0
1;Jarrett Allen;cle;C;1.0
2;Giannis Antetokounmpo;mil;PF;1.0
3;Thanasis Antetokounmpo;mil;SF;1.0
4;DeAndre Bembry;mil;SG;0.0
5;Jevon Carter;mil;PG;1.0
6;Wendell Carter;orl;C;1.0
7;Pat Connaughton;mil;SG;0.0
8;Jeff Dowtin;mil;PG;0.0
9;Langston Galloway;mil;SG;0.0
10;George Hill;mil;PG;0.0
11;Malcolm Hill;chi;F;0.0
12;Jrue Holiday;mil;PG;1.0
13;Jrue Holiday;mil;PG;1.0
14;Justin Holiday;sac;SF;1.0
15;Justin Holiday;sac;SF;1.0
16;Aaron Holiday;pho;PG;1.0
17;Aaron Holiday;pho;PG;1.0
18;Serge Ibaka;mil;C;0.0
19;Brook Lopez;mil;C;0.0
20;Robin Lopez;orl;C;0.0
21;Sandro Mamukelashvili;mil;PF;0.0
22;Wesley Matthews;mil;SG;0.0
23;Khris Middleton;mil;SF;1.0
24;Greg Monroe;mil;C;0.0
25;Jordan Nwora;mil;SF;0.0
26;Bobby Portis;mil;C;1.0
27;Lindell Wigginton;mil;G;0.0
28;Darius Bazley;okc;PF;1.0
29;Luguentz Dort;okc;SF;0.0
30;Derrick Favors;okc;C;0.0
31;Josh Giddey;okc;SG;1.0
32;Shai Gilgeous-Alexander;okc;PG;1.0
33;Ty Jerome;okc;SG;0.0
34;Vit Krejci;okc;G;0.0
35;Theo Maledon;okc;PG;0.0
36;Tre Mann;okc;PG;0.0
37;Terance Mann;lac;SG;0.0
38;Mike Muscala;okc;C;0.0
39;Aleksej Pokusevski;okc;C;0.0
40;Jeremiah Robinson-Earl;okc;PF;0.0
41;Isaiah Roby;okc;PF;1.0
42;Olivier Sarr;okc;C;0.0
43;Lindy WatersI;okc;F;0.0
44;Aaron Wiggins;okc;SG;1.0
45;Aaron Wiggins;okc;SG;1.0
46;Andrew Wiggins;gs;SF;1.0
47;Andrew Wiggins;gs;SF;1.0
48;Kenrich Williams;okc;SF;0.0
49;Ziaire Williams;mem;SG;0.0
50;Lou Williams;atl;SG;0.0
51;Patrick Williams;chi;PF;0.0
52;Grant Williams;bos;PF;0.0
53;Brandon Williams;por;PG;0.0
54;Steven Adams;mem;C;1.0
55;Santi Aldama;mem;PF;0.0
56;Kyle Anderson;mem;SF;0.0
57;Justin Anderson;ind;F;0.0
58;Desmond Bane;mem;SG;1.0
59;Dillon Brooks;mem;SF;1.0
60;Armoni Brooks;tor;SG;1.0
61;Shaq Buchanan;mem;F;0.0
62;Brandon Clarke;mem;PF;0.0
63;Jarrett Culver;mem;G;0.0
64;Shaquille Harrison;mem;G;0.0
65;Jaren Jackson;mem;PF;1.0
66;Jaren Jackson;mem;PF;1.0
67;Jaren Jackson;mem;PF;1.0
68;Josh Jackson;sac;SG;1.0
69;Josh Jackson;sac;SG;1.0
70;Josh Jackson;sac;SG;1.0
71;Justin Jackson;pho;F;1.0
72;Justin Jackson;pho;F;1.0
73;Justin Jackson;pho;F;1.0
74;Reggie Jackson;lac;PG;1.0
75;Reggie Jackson;lac;PG;1.0
76;Reggie Jackson;lac;PG;1.0
77;Isaiah Jackson;ind;F;1.0
78;Isaiah Jackson;ind;F;1.0
79;Isaiah Jackson;ind;F;1.0
80;Frank Jackson;det;PG;1.0
81;Frank Jackson;det;PG;1.0
82;Frank Jackson;det;PG;1.0
83;DaQuan Jeffries;mem;SG;0.0
84;Tyus Jones;mem;PG;1.0
85;Damian Jones;sac;C;1.0
86;Derrick Jones;chi;SF;1.0
87;Herbert Jones;no;SF;1.0
