;full_name;Tm;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;POS;GS;code
0;Aaron Gordon;den;31.076923076923077;2.0;1.0;26.0;10.115384615384615;1.8461538461538463;1.9230769230769231;0.3730584016089835;PF;1;PFden1
1;Aaron Gordon;den;31.076923076923077;2.0;1.0;26.0;10.115384615384615;1.8461538461538463;1.9230769230769231;0.3730584016089835;PF;1;PFden1
2;Aaron Holiday;wsh;15.96;3.0;3.0;25.0;5.2;1.0;1.56;0.2318717460117589;PG;0;PGwsh0
3;Aaron Holiday;wsh;15.96;3.0;3.0;25.0;5.2;1.0;1.56;0.2318717460117589;PG;0;PGwsh0
4;Aaron Nesmith;bos;9.64;3.0;2.0;22.0;3.0;0.72;1.4;0.003087112849421851;SF;0;SFbos0
5;Aaron Wiggins;okc;19.0;3.0;4.0;22.210526315789473;4.631578947368421;0.8421052631578947;1.7894736842105263;0.18500490127821057;SG;0;SGokc0
6;Abdel Nader;pho;10.0;3.0;2.0;28.0;2.5;0.9;1.8;-0.029654927238960856;SF;0;SFpho0
7;Al Horford;bos;28.857142857142858;3.0;4.0;35.0;9.071428571428571;1.0714285714285714;2.2142857142857144;0.4239763511080952;C;1;Cbos1
8;Alec Burks;ny;26.894736842105264;3.0;;30.0;8.973684210526315;0.9210526315789473;2.3684210526315788;0.2868087101646745;SG;0;SGny0
9;Aleksej Pokusevski;okc;15.789473684210526;3.0;1.0;19.157894736842106;6.2105263157894735;1.368421052631579;1.3157894736842106;0.169996706893777;C;0;Cokc0
10;Alex Caruso;chi;27.72;3.0;1.0;27.0;6.24;1.48;2.56;0.3351036075544372;SG;0;SGchi0
11;Alex Len;sac;16.875;0.0;1.0;28.0;5.0;1.125;3.0416666666666665;0.3086116928838585;C;0;Csac0
12;Alize Johnson;wsh;11.333333333333334;3.0;2.0;25.0;3.3333333333333335;0.6666666666666666;0.3333333333333333;0.12736923570256906;F;0;Fwsh0
13;Alperen Sengun;hou;17.892857142857142;0.0;1.0;19.0;6.571428571428571;2.0;3.0;0.4420680581967429;C;0;Chou0
14;Amir Coffey;lac;20.76;3.0;4.0;24.0;5.52;0.48;1.2;0.2438123253417742;SG;0;SGlac0
15;Andre Drummond;phi;18.653846153846153;3.0;1.0;28.0;4.653846153846154;1.9230769230769231;2.8076923076923075;0.6277600818201985;C;0;Cphi0
16;Andre Iguodala;gs;16.75;2.0;2.0;37.0;4.25;0.25;0.0;0.33294433564633125;F;0;Fgs0
17;Andrew Wiggins;gs;29.566666666666666;2.0;4.0;26.0;14.066666666666666;1.6;1.9333333333333333;0.3728367051345453;SF;1;SFgs1
18;Anfernee Simons;por;26.0;3.0;1.0;22.0;12.0;1.4285714285714286;1.9285714285714286;0.23435372802905552;SG;0;SGpor0
