;advers;age;cluster
0;Na Li;31.6495550992;10
1;Na Li;31.6495550992;10
2;Na Li;31.6495550992;10
3;Kim Clijsters;36.6954140999;15
4;Kim Clijsters;36.733744011;15
5;Kim Clijsters;37.2320328542;15
6;Kim Clijsters;38.3052703628;15
7;Kim Clijsters;38.3299110198;15
8;Kaia Kanepi;30.874743326500006;8
9;Kaia Kanepi;32.2162902122;8
10;Kaia Kanepi;32.2162902122;8
11;Kaia Kanepi;32.2162902122;8
12;Kaia Kanepi;32.2162902122;8
13;Kaia Kanepi;32.2162902122;8
14;Kaia Kanepi;32.3504449008;8
15;Kaia Kanepi;33.117043121100004;8
16;Kaia Kanepi;33.2128678987;8
17;Kaia Kanepi;33.2128678987;8
18;Kaia Kanepi;33.2128678987;8
19;Kaia Kanepi;32.5995893224;8
20;Kaia Kanepi;32.5995893224;8
21;Kaia Kanepi;32.733744011;8
22;Kaia Kanepi;32.9253935661;8
23;Kaia Kanepi;33.0403832991;8
24;Kaia Kanepi;32.5612594114;8
25;Kaia Kanepi;32.5612594114;8
26;Kaia Kanepi;33.1745379877;8
27;Kaia Kanepi;32.9445585216;8
28;Kaia Kanepi;33.117043121100004;8
29;Kaia Kanepi;32.963723477100004;8
30;Kaia Kanepi;33.0595482546;8
31;Kaia Kanepi;33.2128678987;8
32;Kaia Kanepi;32.5995893224;8
33;Kaia Kanepi;32.733744011;8
34;Kaia Kanepi;32.772073922;8
35;Kaia Kanepi;32.9253935661;8
36;Kaia Kanepi;33.0403832991;8
37;Kaia Kanepi;32.5612594114;8
38;Kaia Kanepi;33.1745379877;8
39;Kaia Kanepi;33.8069815195;8
40;Kaia Kanepi;33.8069815195;8
41;Kaia Kanepi;33.9603011636;8
42;Kaia Kanepi;33.9603011636;8
43;Kaia Kanepi;33.9603011636;8
44;Kaia Kanepi;34.0561259411;8
45;Kaia Kanepi;34.2094455852;8
46;Kaia Kanepi;33.7303216975;8
47;Kaia Kanepi;34.3436002738;8
48;Kaia Kanepi;33.8069815195;8
49;Kaia Kanepi;34.516084873400004;8
50;Kaia Kanepi;34.1902806297;8
51;Kaia Kanepi;33.9603011636;8
52;Kaia Kanepi;34.0561259411;8
53;Kaia Kanepi;34.2094455852;8
54;Kaia Kanepi;33.5961670089;8
55;Kaia Kanepi;33.7303216975;8
56;Kaia Kanepi;33.7686516085;8
