;Tm;indice
0;gs;1.1400000000000001
1;cha;0.9400000000000001
2;lal;0.9800000000000001
3;pho;1.0700000000000003
4;sac;0.9500000000000001
5;ny;1.0500000000000003
6;utah;1.12
7;mia;1.0900000000000003
8;por;1.0100000000000002
9;sa;1.0300000000000002
10;mem;0.92
11;chi;1.1100000000000003
12;phi;1.1300000000000003
13;wsh;1.1
14;ind;1.02
15;lac;1.06
16;bos;0.9700000000000001
17;mil;0.9600000000000001
18;atl;0.91
19;bkn;1.08
20;cle;1.0
21;min;0.89
22;tor;0.9900000000000001
23;hou;0.86
24;dal;0.93
25;den;1.04
26;no;0.85
27;orl;0.9
28;okc;0.87
29;det;0.88
