;full_name;code;lettre;position;Age
0;Bogdan Bogdanovic;bogdabo01;b;SG;29
1;Clint Capela;capelca01;c;C;27
2;John Collins;collijo01;c;PF;23
3;Sharife Cooper;coopesh01;c;PG;20
4;Gorgui Dieng;dienggo01;d;C;31
5;Danilo Gallinari;gallida01;g;PF;33
6;Brandon Goodwin;goodwbr01;g;PG;25
7;Johnny Hamilton;hamiljo01;h;C;27
8;Solomon Hill;hillso01;h;SF;30
9;Kevin Huerter;huertke01;h;SG;23
10;DeAndre Hunter;huntede01;h;SF;23
11;Jalen Johnson;johnsja01;j;SF;19
12;AJ Lawson;lawsoaj01;l;G;21
13;Skylar Mays;mayssk01;m;SG;24
14;Onyeka Okongwu;okongon01;o;PF;20
15;Cam Reddish;reddica01;r;SF;22
16;Lou Williams;willilo02;w;SG;34
17;Delon Wright;wrighde01;w;SG;29
18;Trae Young;youngtr01;y;PG;22
19;Juhann Begarin;begarju01;b;SG;19
20;Jaylen Brown;brownja02;b;SG;24
21;Kris Dunn;dunnkr01;d;PG;27
22;Carsen Edwards;edwarca01;e;PG;23
23;Bruno Fernando;fernabr01;f;F;23
24;Sam Hauser;hausesa01;h;SF;23
25;Al Horford;horfoal01;h;C;35
26;Enes Kanter;kanteen01;k;C;29
27;Luke Kornet;kornelu01;k;C;26
28;Romeo Langford;langfro01;l;SG;21
29;Juwan Morgan;morgaju01;m;F;24
30;Aaron Nesmith;nesmiaa01;n;SF;21
31;Jabari Parker;parkeja01;p;PF;26
32;Payton Pritchard;pritcpa01;p;PG;23
33;Josh Richardson;richajo01;r;SG;27
34;Dennis Schroder;schrode01;s;PG;27
35;Marcus Smart;smartma01;s;PG;27
36;Jayson Tatum;tatumja01;t;SF;23
37;Grant Williams;willigr01;w;PF;22
38;Robert WilliamsI;williro04;w;C;23
39;LaMarcus Aldridge;aldrila01;a;F;36
40;DeAndre Bembry;bembrde01;b;SG;27
41;Bruce Brown;brownbr01;b;SF;25
42;Jevon Carter;carteje01;c;PG;25
43;Nicolas Claxton;claxtni01;c;PF;22
44;Sekou Doumbouya;doumbse01;d;SF;20
45;David Duke;dukeda01;d;G;21
46;Kevin Durant;duranke01;d;PF;32
47;Kessler Edwards;edwarke01;e;SF;21
48;RaiQuan Gray;grayra01;g;PF;22
49;Blake Griffin;griffbl01;g;PF;32
50;James Harden;hardeja01;h;SG;32
51;Joe Harris;harrijo01;h;SF;30
52;Kyrie Irving;irvinky01;i;PG;29
53;Mike James;jamesmi02;j;PG;31
54;James Johnson;johnsja01;j;PF;34
55;Tyler Johnson;johnsty01;j;SG;29
56;Timothe Luwawu-Cabarrot;luwawti01;l;SG;26
57;Patty Mills;millspa01;m;PG;33
58;Paul Millsap;millspa01;m;PF;36
59;Reggie Perry;perryre01;p;PF;21
60;DayRon Sharpe;sharpda01;s;C;19
61;Cam Thomas;thomaca01;t;SG;19
62;Marcus Zegarowski;zegarma01;z;PG;23
63;Lonzo Ball;balllo01;b;PG;23
64;Tony Bradley;bradlto01;b;C;23
65;Troy Brown;browntr01;b;SF;22
66;Alex Caruso;carusal01;c;SG;27
67;Tyler Cook;cookty01;c;F;23
68;DeMar DeRozan;derozde01;d;SF;32
69;Ayo Dosunmu;dosunay01;d;SG;21
70;Devon Dotson;dotsode01;d;PG;22
71;Javonte Green;greenja01;g;PG;28
72;Alize Johnson;johnsal02;j;F;25
73;Stanley Johnson;johnsst01;j;F;25
74;Derrick Jones;jonesde02;j;SF;24
75;Zach LaVine;lavinza01;l;SG;26
76;Marko Simonovic;simonma01;s;C;21
77;Matt Thomas;thomama01;t;SG;27
78;Ethan Thompson;thompet01;t;SG;22
79;Nikola Vucevic;vucevni01;v;C;30
80;Coby White;whiteco01;w;PG;21
81;Patrick Williams;willipa01;w;PF;20
82;LaMelo Ball;ballla01;b;PG;20
83;James Bouknight;bouknja01;b;SG;20
84;Miles Bridges;bridgmi01;b;SF;23
85;Vernon Carey;careyve01;c;C;20
86;DJ Carton;cartodj01;c;PG;21
87;Gordon Hayward;haywago01;h;SF;31
88;Wes Iwundu;iwundwe01;i;SF;26
89;Kai Jones;joneska01;j;PF;20
90;Arnoldas Kulboka;kulboar01;k;PF;23
91;Scottie Lewis;lewissc01;l;SG;21
92;Cody Martin;martico01;m;SF;25
93;Jalen McDaniels;mcdanja01;m;PF;23
94;Kelly Oubre;oubreke01;o;SG;25
95;Mason Plumlee;plumlma01;p;C;31
96;Nick Richards;richani01;r;C;23
97;Terry Rozier;roziete01;r;SG;27
98;Ish Smith;smithis01;s;PG;33
99;JT Thor;thorjt01;t;PF;19
100;PJ Washington;washipj01;w;PF;23
101;Goga Bitadze;bitadgo01;b;C;22
102;Oshae Brissett;brissos01;b;SF;23
103;Malcolm Brogdon;brogdma01;b;PG;28
104;Torrey Craig;craigto01;c;SF;30
105;Chris Duarte;duartch01;d;SG;24
106;Nate Hinton;hintona01;h;SG;22
107;Justin Holiday;holidju01;h;SF;32
108;Isaiah Jackson;jacksis01;j;PF;19
109;DJn Jarreau;jarredj01;j;F;23
110;Jeremy Lamb;lambje01;l;SG;29
111;Caris LeVert;leverca01;l;SG;27
112;Kelan Martin;martike01;m;SG;26
113;T.J. McConnell;mccontj01;m;PG;29
114;Domantas Sabonis;sabondo01;s;PF;25
115;JaKarr Sampson;sampsja01;s;SF;28
116;Cassius Stanley;stanlca01;s;SG;22
117;Edmond Sumner;sumneed01;s;PG;25
118;Keifer Sykes;sykeske01;s;SG;27
119;Terry Taylor;taylote01;t;SG;21
120;Myles Turner;turnemy01;t;C;25
121;T.J. Warren;warretj01;w;SF;28
122;Duane Washington;washidu01;w;PG;21
123;Deni Avdija;avdijde01;a;SF;20
124;Bradley Beal;bealbr01;b;SG;28
125;Davis Bertans;bertada01;b;SF;28
126;Thomas Bryant;bryanth01;b;C;24
127;Kentavious Caldwell-Pope;caldwke01;c;SG;28
128;Spencer Dinwiddie;dinwisp01;d;PG;28
129;Daniel Gafford;gaffoda01;g;C;22
130;Anthony Gill;gillan01;g;PF;28
131;Jordan Goodwin;goodwjo01;g;SG;22
132;Rui Hachimura;hachiru01;h;PF;23
133;Montrezl Harrell;harremo01;h;C;27
134;Aaron Holiday;holidaa01;h;PG;24
135;Jay Huff;huffja01;h;C;23
136;Corey Kispert;kispeco01;k;SF;22
137;Kyle Kuzma;kuzmaky01;k;SF;26
138;Garrison Mathews;mathega01;m;SG;24
139;Raul Neto;netora01;n;PG;29
140;Isaiah Todd;toddis01;t;PF;19
141;Cassius Winston;winstca01;w;PG;23
142;Charles Bassey;bassech01;b;C;20
143;Gary Clark;clarkga01;c;SF;26
144;Seth Curry;curryse01;c;SG;31
145;Andre Drummond;drumman01;d;C;28
146;Joel Embiid;embiijo01;e;C;27
147;Danny Green;greenda02;g;SF;34
148;Tobias Harris;harrito02;h;PF;29
149;Aaron Henry;henryaa01;h;SF;22
150;Isaiah Joe;joeis01;j;SG;22
151;Furkan Korkmaz;korkmfu01;k;SG;24
152;Tyrese Maxey;maxeyty01;m;PG;20
153;Shake Milton;miltosh01;m;SG;24
154;Georges Niang;niangge01;n;F;28
155;Filip Petrusev;petrufi01;p;PF;21
156;Paul Reed;reedpa01;r;SF;22
157;Grant Riller;rillegr01;r;G;24
158;Mike Scott;scottmi01;s;PF;33
159;Ben Simmons;simmobe01;s;PG;25
160;Jaden Springer;sprinja01;s;PG;18
161;Matisse Thybulle;thybuma01;t;SG;24
162;Bam Adebayo;adebaba01;a;C;24
163;Jimmy Butler;butleji01;b;SF;31
164;Dewayne Dedmon;dedmode01;d;C;32
165;Marcus Garrett;garrema01;g;SG;22
166;Udonis Haslem;hasleud01;h;PF;41
167;Tyler Herro;herroty01;h;PG;21
168;Kyle Lowry;lowryky01;l;PG;35
169;Markieff Morris;morrisma02;m;PF;32
170;KZ Okpala;okpalkz01;o;SF;22
171;Victor Oladipo;oladivi01;o;SG;29
172;Micah Potter;pottemi01;p;F;23
173;Duncan Robinson;robindu01;r;SG;27
174;Javonte Smart;smartja01;s;G;22
175;Dru Smith;smithdr01;s;G;23
176;DJ Stewart;stewadj01;s;G;22
177;Max Strus;strusma01;s;SG;25
178;PJ Tucker;tuckepj01;t;PF;36
179;Gabe Vincent;vincega01;v;PG;25
180;Omer Yurtseven;yurtsom01;y;C;23
181;Grayson Allen;allengr01;a;SG;25
182;Giannis Antetokounmpo;antetgi01;a;PF;26
183;Thanasis Antetokounmpo;antetth01;a;SF;29
184;Elijah Bryant;bryanel01;b;SG;26
185;Pat Connaughton;connapa01;c;SG;28
186;Donte DiVincenzo;divindo01;d;SG;24
187;Mamadi Diakite;diakima01;d;PF;24
188;George Hill;hillge01;h;G;35
189;Jrue Holiday;holidjr01;h;PG;31
190;Rodney Hood;hoodro01;h;SG;28
191;Justin Jackson;jacksju01;j;SF;26
192;Georgios Kalaitzakis;kalaige01;k;SF;22
193;Brook Lopez;lopezbr01;l;C;33
194;Sandro Mamukelashvili;mamuksa01;m;PF;22
195;Khris Middleton;middlkh01;m;SF;30
196;Jordan Nwora;nworajo01;n;SF;23
197;Semi Ojeleye;ojelese01;o;PF;26
198;Bobby Portis;portibo01;p;C;26
199;Jeff Teague;teaguje01;t;PG;33
200;Axel Toupane;toupaax01;t;SG;29
201;Tremont Waters;watertr01;w;PG;23
202;Cole Anthony;anthoco01;a;PG;21
203;Mo Bamba;bambamo01;b;C;23
204;Ignas Brazdeikis;brazdig01;b;SF;22
205;Wendell Carter;cartewe01;c;C;22
206;Michael Carter-Williams;cartemi01;c;PG;29
207;Jeff Dowtin;dowtije01;d;PG;24
208;James EnnisI;ennisja01;e;SF;31
209;Markelle Fultz;fultzma01;f;PG;23
210;Hassani Gravett;graveha01;g;PG;25
211;R.J. Hampton;hamptrj;h;PG;20
212;Gary Harris;harriga01;h;SG;26
213;Jonathan Isaac;isaacjo01;i;PF;23
214;Robin Lopez;lopezro01;l;C;33
215;ETwaun Moore;mooreet01;m;G;32
216;Chuma Okeke;okekech01;o;PF;23
217;Chasson Randle;randlch01;r;PG;28
218;Terrence Ross;rosste01;r;SG;30
219;Jalen Suggs;suggsja01;s;SG;20
220;Jon Teske;teskejo01;t;C;24
221;Sindarius Thornwell;thornsi01;t;SG;26
222;Franz Wagner;wagnefr01;w;SF;20
223;Moritz Wagner;wagnemo01;w;C;24
224;Saddiq Bey;beysa01;b;SF;22
225;Cade Cunningham;cunnica01;c;PG;19
