first_name;last_name;full_name;code;position;lettre
Aaron;Gordon;Aaron Gordon;gordoaa;F;g
Aaron;Holiday;Aaron Holiday;holidaa;PG;h
Aaron;Nesmith;Aaron Nesmith;nesmiaa;F;n
Abdel;Nader;Abdel Nader;naderab;SF;n
Adam;Mokoka;Adam Mokoka;mokokad;SG;m
Al;Horford;Al Horford;horfoal;FC;h
Alec;Burks;Alec Burks;burksal;SG;b
Aleksej;Pokusevski;Aleksej Pokusevski;pokusal;C;p
Alen;Smailagic;Alen Smailagic;smailal;PF;s
Alex;Caruso;Alex Caruso;carusal;G;c
Alex;Len;Alex Len;lenal;C;l
Al-Farouq;Aminu;Al-Farouq Aminu;aminual;F;a
Alfonzo;McKinnie;Alfonzo McKinnie;mckinal;F;m
Amir;Coffey;Amir Coffey;coffeam;SF;c
Andre;Drummond;Andre Drummond;drumman;C;d
Andre;Iguodala;Andre Iguodala;iguodan;SF;i
Andrew;Wiggins;Andrew Wiggins;wiggian;F;w
Anfernee;Simons;Anfernee Simons;simonan;SG;s
Anthony;Davis;Anthony Davis;davisan;PF;d
Anthony;Edwards;Anthony Edwards;edwaran;SF;e
Anthony;Gill;Anthony Gill;gillan;PF;g
Anzejs;Pasecniks;Anzejs Pasecniks;pasecan;C;p
Aron;Baynes;Aron Baynes;baynear;C;b
Ashton;Hagans;Ashton Hagans;haganas;PG;h
Austin;Rivers;Austin Rivers;riverau;SG;r
Avery;Bradley;Avery Bradley;bradlav;PG;b
Bam;Adebayo;Bam Adebayo;adebaba;C;a
Ben;McLemore;Ben McLemore;mclembe;SG;m
Ben;Simmons;Ben Simmons;simmobe;PF;s
Bismack;Biyombo;Bismack Biyombo;biyombi;PF;b
Blake;Griffin;Blake Griffin;griffbl;PF;g
Boban;Marjanovic;Boban Marjanovic;marjabo;C;m
Bobby;Portis;Bobby Portis;portibo;PF;p
Bogdan;Bogdanovic;Bogdan Bogdanovic;bogdabo;SG;b
Bojan;Bogdanovic;Bojan Bogdanovic;bogdabo;F;b
Bol;Bol;Bol Bol;bolbo;C;b
Brad;Wanamaker;Brad Wanamaker;wanambr;SG;w
Bradley;Beal;Bradley Beal;bealbr;SG;b
Brandon;Clarke;Brandon Clarke;clarkbr;PF;c
Brandon;Goodwin;Brandon Goodwin;goodwbr;PG;g
Brandon;Ingram;Brandon Ingram;ingrabr;SF;i
Brian;Bowen;Brian Bowen;bowenbr;SF;b
Brodric;Thomas;Brodric Thomas;thomabr;G;t
Brook;Lopez;Brook Lopez;lopezbr;C;l
Bruce;Brown,;Bruce Brown,;brownbr;SG;b
Bruno;Fernando;Bruno Fernando;fernabr;C;f
Bryn;Forbes;Bryn Forbes;forbebr;G;f
Buddy;Hield;Buddy Hield;hieldbu;G;h
C.J.;Elleby;C.J. Elleby;ellebc.;SF;e
C.J.;McCollum;C.J. McCollum;mccolc.;G;m
Caleb;Martin;Caleb Martin;martica;F;m
Cam;Reddish;Cam Reddish;reddica;G;r
Cameron;Johnson;Cameron Johnson;johnsca;G;j
Cameron;Payne;Cameron Payne;payneca;G;p
Caris;LeVert;Caris LeVert;leverca;G;l
Carmelo;Anthony;Carmelo Anthony;anthoca;F;a
Carsen;Edwards;Carsen Edwards;edwarca;PG;e
Cassius;Stanley;Cassius Stanley;stanlca;G;s
Cassius;Winston;Cassius Winston;winstca;PG;w
Cedi;Osman;Cedi Osman;osmance;GF;o
Chandler;Hutchison;Chandler Hutchison;hutchch;SG;h
Chimezie;Metu;Chimezie Metu;metuch;PF;m
Chris;Boucher;Chris Boucher;bouchch;PF;b
Chris;Chiozza;Chris Chiozza;chiozch;PG;c
Chris;Clemons;Chris Clemons;clemoch;PG;c
Chris;Paul;Chris Paul;paulch;PG;p
