,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,url,joueur,annee
0,1,1,2003-10-29,25-303,NJN,@,TOR,L (-3),1,30:35,10,20,.500,1,1,1.000,5,8,.625,2,9,11,2,0,2,3,4,26,17.1,+4,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
1,2,2,2003-10-31,25-305,NJN,,MIN,W (+23),1,21:08,5,9,.556,0,0,,1,2,.500,2,4,6,2,0,0,1,1,11,8.9,+12,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
2,3,,2003-11-01,25-306,NJN,@,WAS,W (+13),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
3,4,,2003-11-04,25-309,NJN,,HOU,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
4,5,,2003-11-06,25-311,NJN,,IND,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
5,6,,2003-11-07,25-312,NJN,@,BOS,W (+7),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
6,7,,2003-11-09,25-314,NJN,@,DET,L (-14),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
7,8,3,2003-11-12,25-317,NJN,,SAS,L (-14),1,38:27,7,21,.333,0,1,.000,0,0,,2,8,10,2,2,4,1,3,14,9.9,-1,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
8,9,4,2003-11-14,25-319,NJN,,NYK,W (+5),1,41:05,9,15,.600,0,0,,3,5,.600,0,10,10,1,0,0,4,3,21,11.8,+7,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
9,10,5,2003-11-15,25-320,NJN,@,ATL,W (+15),1,32:56,9,18,.500,1,2,.500,4,6,.667,5,9,14,2,2,2,1,3,23,22.0,+13,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
10,11,6,2003-11-18,25-323,NJN,,NOH,L (-3),1,33:48,3,10,.300,0,0,,2,3,.667,3,4,7,3,1,3,3,2,8,6.5,-10,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
11,12,7,2003-11-22,25-327,NJN,,TOR,L (-1),1,40:15,12,19,.632,0,0,,2,2,1.000,0,7,7,1,0,0,2,3,26,17.1,+6,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
12,13,8,2003-11-25,25-330,NJN,@,SEA,W (+23),1,34:02,12,22,.545,0,0,,3,4,.750,4,10,14,1,2,2,1,4,27,23.3,+25,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
13,14,9,2003-11-27,25-332,NJN,@,LAC,W (+6),1,30:17,3,9,.333,0,0,,3,5,.600,2,6,8,2,2,2,1,4,9,8.5,-5,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
14,15,10,2003-11-28,25-333,NJN,@,POR,L (-4),1,35:56,6,17,.353,0,0,,0,2,.000,1,6,7,3,2,2,2,3,12,6.5,+1,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
15,16,11,2003-11-30,25-335,NJN,@,SAC,L (-13),1,37:36,8,19,.421,0,1,.000,2,2,1.000,2,5,7,3,0,1,4,1,18,9.2,-15,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
16,17,12,2003-12-01,25-336,NJN,@,UTA,L (-7),1,36:19,5,14,.357,0,1,.000,0,0,,2,1,3,5,2,2,2,6,10,6.4,-12,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
17,18,13,2003-12-03,25-338,NJN,,MEM,L (-3),1,31:44,6,13,.462,0,1,.000,8,9,.889,1,7,8,3,0,2,2,6,20,14.8,+6,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
18,19,14,2003-12-05,25-340,NJN,,MIL,W (+7),1,42:15,10,17,.588,0,0,,0,0,,8,13,21,1,3,3,4,4,20,21.8,+7,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
19,20,15,2003-12-06,25-341,NJN,,PHO,W (+11),1,39:38,8,12,.667,1,1,1.000,4,5,.800,1,11,12,7,1,1,5,5,21,19.0,+14,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,https://www.basketball-reference.com/players/a/martike01/gamelog/2004,martike01,2004
