,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,url,joueur,annee
0,1,1.0,2021-10-19,34-241,BRK,@,MIL,L (-23),0,20:43,0,2,0.0,0.0,1.0,0.0,1,2,0.5,0.0,0.0,0,2,0.0,1.0,0.0,3,1,0.1,https://www.basketball-reference.com/players/a/johnsja01/gamelog/2022,johnsja01,2022
0,1,1.0,2021-10-19,36-092,BRK,@,MIL,L (-23),0,15:42,0,2,0.0,0.0,0.0,,1,4,0.25,0.0,3.0,3,1,0.0,1.0,1.0,2,1,-1.1,https://www.basketball-reference.com/players/a/aldrila01/gamelog/2022,aldrila01,2022
0,1,1.0,2021-10-19,27-107,BRK,@,MIL,L (-23),0,3:45,0,0,,0.0,0.0,,0,0,,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,https://www.basketball-reference.com/players/a/bembrde01/gamelog/2022,bembrde01,2022
0,1,1.0,2021-10-19,25-065,BRK,@,MIL,L (-23),0,3:45,0,0,,0.0,0.0,,0,0,,0.0,1.0,1,0,0.0,1.0,0.0,0,0,1.0,https://www.basketball-reference.com/players/a/brownbr01/gamelog/2022,brownbr01,2022
0,1,1.0,2021-10-19,26-035,BRK,@,MIL,L (-23),0,18:57,0,3,0.0,0.0,2.0,0.0,0,0,,0.0,2.0,2,0,0.0,0.0,1.0,1,0,-2.9,https://www.basketball-reference.com/players/a/carteje01/gamelog/2022,carteje01,2022
0,1,1.0,2021-10-19,22-185,BRK,@,MIL,L (-23),1,24:10,6,9,0.667,0.0,0.0,,0,3,0.0,0.0,7.0,7,0,0.0,0.0,0.0,3,12,7.8,https://www.basketball-reference.com/players/a/claxtni01/gamelog/2022,claxtni01,2022
0,1,,2021-10-19,20-300,LAL,,GSW,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,Did Not Play,Did Not Play,Did Not Play,,,Did Not Play,Did Not Play,,,,Did Not Play,Did Not Play,Did Not Play,https://www.basketball-reference.com/players/a/doumbse01/gamelog/2022,doumbse01,2022
0,1,1.0,2021-10-19,33-020,BRK,@,MIL,L (-23),1,30:15,13,25,0.52,3.0,7.0,0.429,3,6,0.5,0.0,11.0,11,4,0.0,2.0,1.0,2,32,24.2,https://www.basketball-reference.com/players/a/duranke01/gamelog/2022,duranke01,2022
0,1,1.0,2021-10-19,32-217,BRK,@,MIL,L (-23),1,22:59,2,5,0.4,0.0,1.0,0.0,2,2,1.0,1.0,4.0,5,0,1.0,0.0,1.0,1,6,4.8,https://www.basketball-reference.com/players/a/griffbl01/gamelog/2022,griffbl01,2022
0,1,1.0,2021-10-19,32-054,BRK,@,MIL,L (-23),1,30:38,6,16,0.375,4.0,8.0,0.5,4,4,1.0,3.0,5.0,8,8,1.0,2.0,4.0,3,20,17.6,https://www.basketball-reference.com/players/a/hardeja01/gamelog/2022,hardeja01,2022
0,1,1.0,2021-10-19,30-043,BRK,@,MIL,L (-23),1,30:46,3,9,0.33299999999999996,3.0,5.0,0.6,0,0,,0.0,2.0,2,2,0.0,0.0,2.0,1,9,3.5,https://www.basketball-reference.com/players/a/harrijo01/gamelog/2022,harrijo01,2022
0,1,,2021-10-19,29-210,BRK,@,MIL,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/irvinky01/gamelog/2022,irvinky01,2022
0,1,1.0,2021-10-19,34-241,BRK,@,MIL,L (-23),0,20:43,0,2,0.0,0.0,1.0,0.0,1,2,0.5,0.0,0.0,0,2,0.0,1.0,0.0,3,1,0.1,https://www.basketball-reference.com/players/a/johnsja01/gamelog/2022,johnsja01,2022
0,1,1.0,2021-10-19,36-251,BRK,@,MIL,L (-23),0,5:13,0,0,,0.0,0.0,,0,0,,1.0,2.0,3,0,0.0,1.0,1.0,0,0,1.0,https://www.basketball-reference.com/players/a/millspa01/gamelog/2022,millspa01,2022
0,1,1.0,2021-10-19,36-251,BRK,@,MIL,L (-23),0,5:13,0,0,,0.0,0.0,,0,0,,1.0,2.0,3,0,0.0,1.0,1.0,0,0,1.0,https://www.basketball-reference.com/players/a/millspa01/gamelog/2022,millspa01,2022
0,1,,2021-10-19,19-347,BRK,@,MIL,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/sharpda01/gamelog/2022,sharpda01,2022
0,1,,2021-10-19,23-055,LAL,,GSW,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,,,,Inactive,Inactive,Inactive,,,Inactive,Inactive,,,,Inactive,Inactive,Inactive,https://www.basketball-reference.com/players/a/huffja01/gamelog/2022,huffja01,2022
0,1,1.0,2021-10-19,26-011,MIL,,BRK,W (+23),1,27:43,3,10,0.3,3.0,10.0,0.3,1,1,1.0,0.0,4.0,4,6,2.0,0.0,0.0,0,10,11.6,https://www.basketball-reference.com/players/a/allengr01/gamelog/2022,allengr01,2022
