;N°; Chevaux;Jockey;S/A;sexe;age;Entraineur;Cotes;pred_gp_log;pred_gp_lin;pred_qt_log;pred_qt_lin
0;1;DELIA DU POMMEREUX;Thomain D.;F9;F;9.0;2100m;5.9;0.3926745927785995;0.3930870592597674;0.5925537999049134;0.607889279457693
1;2;COKSTILE;Gelormini G.;M9;M;9.0;2100m;27.2;0.09809073122405353;0.09704034690132513;0.23044698424455579;0.210611188911065
2;3;DAVIDSON DU PONT;Bazire N.;M9;M;9.0;2100m;43.5;0.0601091881282514;0.010193138503185595;0.12485602552271458;0.13800365564655565
3;4;DON FANUCCI ZET;Kihlstrom Orj.;M6;M;6.0;2100m;4.8;0.4664060396037265;0.44451145421393135;0.6593004391443797;0.6807023822679306
4;5;BAHIA QUESNOT;Guelpa J.;F11;F;11.0;2100m;29.6;0.09199491793806801;0.088577639039356;0.2195657591867548;0.20344281856237392
5;6;FEELING CASH;Lagadeuc F.;M7;M;7.0;2100m;90.1;0.02939437900649187;-0.1079770560665817;-0.014857805010759284;0.07548805952856318
6;7;VIVID WISE AS;Raffin E.;M8;M;8.0;2100m;4.8;0.44485481901964774;0.4256115076975783;0.6317879362330754;0.6504736721404365
7;8;ZACON GIO;Abrivard A.;M7;M;7.0;2100m;97.5;0.026951981544493096;-0.12257641821276921;-0.03260806635106883;0.0697103957301696
8;9;BILLIE DE MONTFORT;Verva Pie. Y.;F11;F;11.0;2100m;90.8;0.027731577052012072;-0.1187420879898643;-0.03249863232032735;0.07016831476238583
9;10;FLAMME DU GOUTIER;Duvaldestin Theo;F7;F;7.0;2100m;8.0;0.3222700213714066;0.3445340123272768;0.5369759175642245;0.5420824700632328
10;11;DETROIT CASTELETS;Ouvrie F.;M9;M;9.0;2100m;47.5;0.05472890467280378;-0.006077632562819457;0.10507362436449985;0.12701036558398768
11;12;ALCOY;Martens C.;M8;M;8.0;2100m;64.8;0.0405154807965991;-0.0557839535501794;0.04649556800327903;0.09887049048459724
12;13;CHICA DE JOUDES;Laurent A.;F10;F;10.0;2100m;97.5;0.025994906142736852;-0.12896497388372552;-0.043617911095318984;0.066718187420798
13;14;GU D'HERIPRE;Nivard F.;M6;M;6.0;2100m;14.5;0.20024541188578202;0.24003128042011457;0.4106884458663048;0.39043297740015315
14;15;VIOLETTO JET;Lebourgeois Y.;M8;M;8.0;2100m;56.9;0.046633021701423666;-0.03173715669183097;0.07573225138430506;0.11220380692887365
15;16;FELICIANO;Guzzinati A.;M7;M;7.0;2100m;12.8;0.2158008149581804;0.25296924112514374;0.4239895254969809;0.4054852023557431
16;17;MISSLE HILL;Goop Bjo.;M7;M;7.0;2100m;61.3;0.0447199864906223;-0.0367412096138352;0.07175247827922726;0.11042844474509657
17;18;FRISBEE D'AM;Barrier A.;M7;M;7.0;2100m;88.4;0.03001520624197801;-0.10445388745561124;-0.010574250498959437;0.07694679648491012
