;TEAM;PTS ALLOW;REB ALLOW;ORB ALLOW;AST ALLOW;STL;DEF REB;FG ALLOW;3PT ALLOW;BLK;TOV;OPP FG%;OPP 3PT%;DEF RTG
0;Cleveland Cavaliers Cavaliers;1;9;22;5;19;3;5;4;24;11;4;9;1
1;Dallas Mavericks Mavericks;2;12;4;9;25;21;7;1;27;15;14;4;14
2;Boston Celtics Celtics;3;16;17;1;18;14;3;12;2;14;1;6;17
3;Golden State Warriors Warriors;4;6;8;3;2;6;2;14;13;7;2;3;19
4;Miami Heat Heat;5;1;6;8;16;2;1;27;30;4;5;12;26
5;Phoenix Suns Suns;6;15;18;2;6;13;8;5;25;8;3;1;20
6;Philadelphia 76ers 76ers;7;21;15;7;13;20;9;3;5;23;12;8;28
7;New York Knicks Knicks;8;13;7;15;26;17;4;24;9;27;6;15;24
8;Utah Jazz Jazz;9;2;12;4;22;1;16;11;10;29;11;11;29
9;Toronto Raptors Raptors;10;14;16;19;3;11;6;16;14;2;19;20;22
10;Denver Nuggets Nuggets;11;4;5;16;23;7;14;10;29;22;23;5;25
11;Los Angeles Clippers Clippers;12;28;30;14;12;25;17;7;21;10;9;7;21
12;Oklahoma City Thunder Thunder;13;30;28;21;15;30;13;23;17;18;7;10;8
13;Memphis Grizzlies Grizzlies;14;5;11;22;1;4;11;18;1;5;13;17;11
14;New Orleans Pelicans Pelicans;15;3;3;13;14;5;12;20;26;20;22;27;10
15;Washington Wizards Wizards;16;18;19;6;30;15;18;2;11;30;17;18;2
16;Milwaukee Bucks Bucks;17;19;14;23;10;18;15;30;28;17;8;14;30
17;Chicago Bulls Bulls;18;8;2;20;21;10;23;8;22;21;24;25;12
18;Brooklyn Nets Nets;19;17;24;10;24;9;20;13;7;26;10;2;18
19;San Antonio Spurs Spurs;20;26;29;12;9;24;28;9;8;13;21;19;5
20;Minnesota Timberwolves Timberwolves;21;23;26;29;5;23;10;21;3;1;15;16;9
21;Orlando Magic Magic;22;25;20;18;28;27;22;22;16;19;18;28;16
22;Portland Trail Blazers Blazers;23;10;1;28;11;19;19;28;20;16;26;29;3
23;Atlanta Hawks Hawks;24;11;10;27;29;12;26;26;23;28;25;24;15
24;Indiana Pacers Pacers;25;7;9;11;27;8;25;6;6;24;27;26;23
25;Los Angeles Lakers Lakers;26;27;25;26;7;26;24;19;4;9;16;13;27
26;Detroit Pistons Pistons;27;24;13;24;8;28;21;17;15;6;28;30;4
27;Sacramento Kings Kings;28;22;23;17;17;22;29;15;19;25;29;23;7
28;Charlotte Hornets Hornets;29;29;27;30;4;29;27;29;12;3;20;22;13
29;Houston Rockets Rockets;30;20;21;25;20;16;30;25;18;12;30;21;6
