;full_name;Tm;POS;GS
0;Bogdan Bogdanovic;atl;SG;1.0
1;Bogdan Bogdanovic;atl;SG;1.0
2;Bojan Bogdanovic;utah;SF;1.0
3;Bojan Bogdanovic;utah;SF;1.0
4;Clint Capela;atl;C;1.0
5;John Collins;atl;PF;1.0
6;Zach Collins;sa;PF;1.0
7;Sharife Cooper;atl;PG;0.0
8;Gorgui Dieng;atl;C;0.0
9;Danilo Gallinari;atl;PF;0.0
10;Solomon Hill;atl;SF;0.0
11;George Hill;mil;PG;0.0
12;Kevin Huerter;atl;SG;0.0
13;DeAndre Hunter;atl;SF;1.0
14;Jalen Johnson;atl;SF;1.0
15;Keldon Johnson;sa;SF;1.0
16;Cameron Johnson;pho;SF;1.0
17;James Johnson;bkn;PF;1.0
18;Keon Johnson;lac;SG;1.0
19;Alize Johnson;chi;F;1.0
20;David Johnson;tor;PG;1.0
21;Timothe Luwawu-Cabarrot;atl;SG;0.0
22;Skylar Mays;atl;SG;0.0
23;Onyeka Okongwu;atl;PF;0.0
24;Cam Reddish;atl;SF;0.0
25;Lou Williams;atl;SG;0.0
26;Kenrich Williams;okc;SF;0.0
27;Grant Williams;bos;PF;0.0
28;Patrick Williams;chi;PF;0.0
29;Ziaire Williams;mem;SG;0.0
30;Delon Wright;atl;SG;0.0
31;McKinley Wright;min;PG;0.0
32;Trae Young;atl;PG;1.0
33;Thaddeus Young;sa;PF;1.0
34;Keita Bates-Diop;sa;SF;0.0
35;Devontae Cacok;sa;PF;0.0
36;Drew Eubanks;sa;PF;0.0
37;Bryn Forbes;sa;SG;0.0
38;Tre Jones;sa;PG;1.0
39;Herbert Jones;no;SF;1.0
40;Kai Jones;cha;PF;1.0
41;Damian Jones;sac;C;1.0
42;Derrick Jones;chi;SF;1.0
43;Tyus Jones;mem;PG;1.0
44;Jock Landale;sa;C;0.0
45;Doug McDermott;sa;SF;1.0
46;Dejounte Murray;sa;PG;1.0
47;Jamal Murray;den;PG;1.0
48;Jakob Poeltl;sa;C;1.0
49;Joshua Primo;sa;SG;0.0
50;Devin Vassell;sa;SG;0.0
51;Lonnie Walker;sa;SG;1.0
52;Kemba Walker;ny;PG;1.0
53;Derrick White;sa;PG;1.0
54;Coby White;chi;PG;1.0
55;Joe Wieskamp;sa;SF;0.0
56;Grayson Allen;mil;SG;1.0
57;Jarrett Allen;cle;C;1.0
58;Giannis Antetokounmpo;mil;PF;1.0
59;Thanasis Antetokounmpo;mil;SF;1.0
60;Pat Connaughton;mil;SG;0.0
61;Donte DiVincenzo;mil;SG;1.0
62;Jrue Holiday;mil;PG;1.0
63;Justin Holiday;ind;SF;1.0
64;Aaron Holiday;wsh;PG;1.0
65;Rodney Hood;mil;SG;0.0
