;Team;annee;DRtg;Opp
0;Golden State Warriors;2017;104.0;GSW
1;Golden State Warriors;2018;107.6;GSW
2;Golden State Warriors;2019;109.5;GSW
3;Golden State Warriors;2020;113.8;GSW
4;Golden State Warriors;2021;110.1;GSW
5;San Antonio Spurs;2017;103.5;SAS
6;San Antonio Spurs;2018;104.8;SAS
7;San Antonio Spurs;2019;111.2;SAS
8;San Antonio Spurs;2020;113.5;SAS
9;San Antonio Spurs;2021;112.8;SAS
10;Houston Rockets;2017;109.0;HOU
11;Houston Rockets;2018;106.1;HOU
12;Houston Rockets;2019;110.7;HOU
13;Houston Rockets;2020;110.1;HOU
14;Houston Rockets;2021;114.9;HOU
15;Toronto Raptors;2017;107.8;TOR
16;Toronto Raptors;2018;105.9;TOR
17;Toronto Raptors;2019;107.1;TOR
18;Toronto Raptors;2020;105.0;TOR
19;Toronto Raptors;2021;112.5;TOR
20;Los Angeles Clippers;2017;108.2;LAC
21;Los Angeles Clippers;2018;110.2;LAC
22;Los Angeles Clippers;2019;111.5;LAC
23;Los Angeles Clippers;2020;107.6;LAC
24;Los Angeles Clippers;2021;111.2;LAC
25;Utah Jazz;2017;105.3;UTA
26;Utah Jazz;2018;103.9;UTA
27;Utah Jazz;2019;105.7;UTA
28;Utah Jazz;2020;109.9;UTA
29;Utah Jazz;2021;108.3;UTA
30;Cleveland Cavaliers;2017;110.3;CLE
31;Cleveland Cavaliers;2018;111.9;CLE
32;Cleveland Cavaliers;2019;117.6;CLE
33;Cleveland Cavaliers;2020;115.4;CLE
34;Cleveland Cavaliers;2021;114.4;CLE
35;Boston Celtics;2017;108.4;BOS
36;Boston Celtics;2018;103.9;BOS
37;Boston Celtics;2019;107.8;BOS
38;Boston Celtics;2020;107.0;BOS
39;Boston Celtics;2021;112.5;BOS
40;Washington Wizards;2017;109.3;WAS
41;Washington Wizards;2018;108.7;WAS
42;Washington Wizards;2019;113.9;WAS
43;Washington Wizards;2020;115.5;WAS
44;Washington Wizards;2021;113.0;WAS
