;win;ace;age;tourney_id;nb_set;ht;name;surface;tourney_level;classe;minutes;cluster;advers
32;0.0;3.0;22.614647501700002;2000-352;2.0;188.0;Tommy Haas;Carpet;M;False;73.0;6.0;Sebastien Grosjean
33;0.0;3.0;22.614647501700002;2000-352;2.0;188.0;Tommy Haas;Carpet;M;False;73.0;6.0;Sebastien Grosjean
34;0.0;3.0;22.614647501700002;2000-352;2.0;188.0;Tommy Haas;Carpet;M;False;73.0;6.0;Sebastien Grosjean
35;0.0;3.0;22.614647501700002;2000-352;2.0;188.0;Tommy Haas;Carpet;M;False;73.0;6.0;Sebastien Grosjean
45;0.0;6.0;22.1930184805;2000-500;3.0;188.0;Tommy Haas;Grass;A;True;83.0;10.0;Ivan Ljubicic
61;1.0;7.0;23.572895277199997;2001-352;2.0;188.0;Tommy Haas;Carpet;M;True;66.0;10.0;Ivan Ljubicic
62;1.0;7.0;23.572895277199997;2001-352;2.0;188.0;Tommy Haas;Carpet;M;True;66.0;10.0;Ivan Ljubicic
63;1.0;7.0;23.572895277199997;2001-352;2.0;188.0;Tommy Haas;Carpet;M;True;66.0;10.0;Ivan Ljubicic
71;1.0;15.0;22.8829568789;2001-402;3.0;188.0;Tommy Haas;Hard;A;True;115.0;10.0;Andy Roddick
72;1.0;15.0;22.8829568789;2001-402;3.0;188.0;Tommy Haas;Hard;A;True;115.0;10.0;Andy Roddick
73;1.0;15.0;22.8829568789;2001-402;3.0;188.0;Tommy Haas;Hard;A;True;115.0;10.0;Andy Roddick
85;1.0;7.0;23.3237508556;2001-421;2.0;188.0;Tommy Haas;Hard;M;False;90.0;10.0;Ivan Ljubicic
86;1.0;7.0;23.3237508556;2001-421;2.0;188.0;Tommy Haas;Hard;M;False;90.0;10.0;Ivan Ljubicic
87;1.0;7.0;23.3237508556;2001-421;2.0;188.0;Tommy Haas;Hard;M;False;90.0;10.0;Ivan Ljubicic
150;1.0;10.0;24.3586584531;2002-419;3.0;188.0;Tommy Haas;Hard;A;True;112.0;6.0;Sebastien Grosjean
151;1.0;10.0;24.3586584531;2002-419;3.0;188.0;Tommy Haas;Hard;A;True;112.0;6.0;Sebastien Grosjean
152;1.0;10.0;24.3586584531;2002-419;3.0;188.0;Tommy Haas;Hard;A;True;112.0;6.0;Sebastien Grosjean
254;1.0;6.0;27.5592060233;2005-328;2.0;188.0;Tommy Haas;Carpet;A;True;85.0;12.0;Alexander Waske
255;1.0;6.0;27.5592060233;2005-328;2.0;188.0;Tommy Haas;Carpet;A;True;85.0;12.0;Alexander Waske
284;0.0;3.0;27.5208761123;2005-337;2.0;188.0;Tommy Haas;Hard;A;False;60.0;13.0;Ivan Ljubicic
