;win;ace;age;tourney_id;nb_set;ht;name;surface;tourney_level;classe;minutes;cluster;advers
494;1.0;0.0;33.0485968515;2017-0825;2.0;172.0;Vera Zvonareva;Hard;I;False;68.0;10.0;Pauline Parmentier
495;1.0;0.0;33.0485968515;2017-0825;2.0;172.0;Vera Zvonareva;Hard;I;False;68.0;10.0;Pauline Parmentier
496;1.0;0.0;33.0485968515;2017-0825;2.0;172.0;Vera Zvonareva;Hard;I;False;68.0;10.0;Pauline Parmentier
668;1.0;0.0;33.6290212183;2019-560;2.0;173.0;Shuai Peng;Hard;G;False;103.0;8.0;Varvara Lepchenko
729;0.0;2.0;30.9377138946;2016-W-FC-2016-WG2-M-ESP-SRB-01;2.0;177.0;Jelena Jankovic;Hard;D;False;83.0;6.0;Carla Suarez Navarro
749;0.0;1.0;31.8822724162;2017-580;3.0;177.0;Jelena Jankovic;Hard;G;False;216.0;10.0;Svetlana Kuznetsova
750;0.0;1.0;31.8822724162;2017-580;3.0;177.0;Jelena Jankovic;Hard;G;False;216.0;10.0;Svetlana Kuznetsova
787;0.0;3.0;31.572895277199997;2017-1091;3.0;180.0;Mandy Minella;Grass;I;False;92.0;4.0;Kirsten Flipkens
788;0.0;3.0;31.572895277199997;2017-1091;3.0;180.0;Mandy Minella;Grass;I;False;92.0;4.0;Kirsten Flipkens
792;0.0;1.0;31.151266256;2017-580;2.0;180.0;Mandy Minella;Hard;G;False;80.0;10.0;Elena Vesnina
793;0.0;1.0;31.151266256;2017-580;2.0;180.0;Mandy Minella;Hard;G;False;80.0;10.0;Elena Vesnina
794;0.0;1.0;31.151266256;2017-580;2.0;180.0;Mandy Minella;Hard;G;False;80.0;10.0;Elena Vesnina
1051;0.0;1.0;33.163586584499996;2019-520;2.0;164.0;Barbora Zahlavova Strycova;Clay;G;False;101.0;10.0;Samantha Stosur
1052;0.0;1.0;33.163586584499996;2019-520;2.0;164.0;Barbora Zahlavova Strycova;Clay;G;False;101.0;10.0;Samantha Stosur
1053;0.0;1.0;33.163586584499996;2019-520;2.0;164.0;Barbora Zahlavova Strycova;Clay;G;False;101.0;10.0;Samantha Stosur
1054;0.0;1.0;33.163586584499996;2019-520;2.0;164.0;Barbora Zahlavova Strycova;Clay;G;False;101.0;10.0;Samantha Stosur
1107;0.0;0.0;30.7679671458;2016-0300;2.0;165.0;Kirsten Flipkens;Hard;I;False;89.0;16.0;Monica Niculescu
1113;0.0;1.0;30.288843258000004;2016-1005;2.0;165.0;Kirsten Flipkens;Clay;I;False;87.0;10.0;Pauline Parmentier
1114;0.0;1.0;30.288843258000004;2016-1005;2.0;165.0;Kirsten Flipkens;Clay;I;False;87.0;10.0;Pauline Parmentier
1155;0.0;1.0;30.9979466119;2017-1050;2.0;165.0;Kirsten Flipkens;Hard;I;False;70.0;16.0;Monica Niculescu
1162;0.0;2.0;31.630390143699998;2017-560;2.0;165.0;Kirsten Flipkens;Hard;G;False;101.0;10.0;Elena Vesnina
1272;1.0;0.0;32.0711841205;2016-1082;3.0;172.0;Samantha Stosur;Clay;I;True;175.0;4.0;Barbora Zahlavova Strycova
1317;0.0;2.0;32.3778234086;2016-M024;2.0;172.0;Samantha Stosur;Hard;P;True;119.0;4.0;Barbora Zahlavova Strycova
1456;1.0;5.0;30.2313483915;2016-1005;2.0;175.0;Pauline Parmentier;Clay;I;False;87.0;4.0;Kirsten Flipkens
1457;1.0;5.0;30.2313483915;2016-1005;2.0;175.0;Pauline Parmentier;Clay;I;False;87.0;4.0;Kirsten Flipkens
1458;1.0;5.0;30.2313483915;2016-1005;2.0;175.0;Pauline Parmentier;Clay;I;False;87.0;4.0;Kirsten Flipkens
1467;1.0;2.0;30.3080082136;2016-520;2.0;175.0;Pauline Parmentier;Clay;G;False;122.0;16.0;Monica Niculescu
1484;1.0;3.0;31.7070499658;2017-0300;2.0;175.0;Pauline Parmentier;Hard;I;False;96.0;4.0;Monica Niculescu
1633;0.0;3.0;32.8952772074;2016-M001;3.0;163.0;Roberta Vinci;Hard;P;False;153.0;10.0;Samantha Stosur
1634;0.0;3.0;32.8952772074;2016-M001;3.0;163.0;Roberta Vinci;Hard;P;False;153.0;10.0;Samantha Stosur
1668;0.0;0.0;33.891854893899996;2017-M001;2.0;163.0;Roberta Vinci;Hard;I;True;79.0;4.0;Barbora Zahlavova Strycova
1669;0.0;0.0;33.891854893899996;2017-M001;2.0;163.0;Roberta Vinci;Hard;I;True;79.0;4.0;Barbora Zahlavova Strycova
1681;1.0;1.0;31.077344284699997;2016-0806;2.0;174.0;Svetlana Kuznetsova;Hard;P;True;104.0;8.0;Petra Kvitova
1682;1.0;1.0;31.077344284699997;2016-0806;2.0;174.0;Svetlana Kuznetsova;Hard;P;True;104.0;8.0;Petra Kvitova
1760;1.0;4.0;31.5564681725;2017-580;3.0;174.0;Svetlana Kuznetsova;Hard;G;True;216.0;10.0;Jelena Jankovic
1761;1.0;4.0;31.5564681725;2017-580;3.0;174.0;Svetlana Kuznetsova;Hard;G;True;216.0;10.0;Jelena Jankovic
1762;1.0;4.0;31.5564681725;2017-580;3.0;174.0;Svetlana Kuznetsova;Hard;G;True;216.0;10.0;Jelena Jankovic
1763;1.0;4.0;31.5564681725;2017-580;3.0;174.0;Svetlana Kuznetsova;Hard;G;True;216.0;10.0;Jelena Jankovic
2094;0.0;4.0;33.1033538672;2018-1005;3.0;168.0;Bethanie Mattek Sands;Clay;I;False;130.0;4.0;Su Wei Hsieh
2095;0.0;4.0;33.1033538672;2018-1005;3.0;168.0;Bethanie Mattek Sands;Clay;I;False;130.0;4.0;Su Wei Hsieh
